22;2;2025-07-09 16:41:42.749+00;2025-07-09 16:41:42.749+00
23;2;2025-07-09 16:41:42.749+00;2025-07-09 16:41:42.749+00
24;2;2025-07-09 16:41:42.749+00;2025-07-09 16:41:42.749+00
25;2;2025-07-09 16:41:42.749+00;2025-07-09 16:41:42.749+00
26;2;2025-07-09 16:41:42.749+00;2025-07-09 16:41:42.749+00
27;2;2025-07-09 16:41:42.749+00;2025-07-09 16:41:42.749+00
28;2;2025-07-09 16:41:42.749+00;2025-07-09 16:41:42.749+00
29;2;2025-07-09 16:41:42.749+00;2025-07-09 16:41:42.749+00
30;2;2025-07-09 16:41:42.749+00;2025-07-09 16:41:42.749+00
31;2;2025-07-09 16:41:42.749+00;2025-07-09 16:41:42.749+00
32;2;2025-07-09 16:41:42.749+00;2025-07-09 16:41:42.749+00
33;2;2025-07-09 16:41:42.749+00;2025-07-09 16:41:42.749+00
34;2;2025-07-09 16:41:42.749+00;2025-07-09 16:41:42.749+00
35;2;2025-07-09 16:41:42.749+00;2025-07-09 16:41:42.749+00
36;2;2025-07-09 16:41:42.749+00;2025-07-09 16:41:42.749+00
37;2;2025-07-09 16:41:42.749+00;2025-07-09 16:41:42.749+00
38;2;2025-07-09 16:41:42.749+00;2025-07-09 16:41:42.749+00
39;2;2025-07-09 16:41:42.749+00;2025-07-09 16:41:42.749+00
40;2;2025-07-09 16:41:42.749+00;2025-07-09 16:41:42.749+00
41;2;2025-07-09 16:41:42.749+00;2025-07-09 16:41:42.749+00
42;2;2025-07-09 16:41:42.749+00;2025-07-09 16:41:42.749+00
43;2;2025-07-09 16:41:42.749+00;2025-07-09 16:41:42.749+00
45;2;2025-07-09 16:41:42.749+00;2025-07-09 16:41:42.749+00
46;2;2025-07-09 16:41:42.749+00;2025-07-09 16:41:42.749+00
47;2;2025-07-09 16:41:42.749+00;2025-07-09 16:41:42.749+00
48;2;2025-07-09 16:41:42.749+00;2025-07-09 16:41:42.749+00
49;2;2025-07-09 16:41:42.749+00;2025-07-09 16:41:42.749+00
50;2;2025-07-09 16:41:42.749+00;2025-07-09 16:41:42.749+00
51;2;2025-07-09 16:41:42.749+00;2025-07-09 16:41:42.749+00
52;2;2025-07-09 16:41:42.749+00;2025-07-09 16:41:42.749+00
53;2;2025-07-09 16:41:42.749+00;2025-07-09 16:41:42.749+00
54;2;2025-07-09 16:41:42.749+00;2025-07-09 16:41:42.749+00
